State,Year,Sex,Unemployment_Rate
Western Australia,2020,Female,4.3509353
Western Australia,2021,Female,3.1928499
Western Australia,2022,Female,3.3363762
Western Australia,2023,Female,3.8717549
Western Australia,2024,Female,3.8897061
Tasmania,2008,Male,4.3810562
Tasmania,2009,Male,7.2593277
Tasmania,2010,Male,4.9483928
Tasmania,2011,Male,7.8081573
Tasmania,2012,Male,8.7267447
Tasmania,2013,Male,7.3569079
Tasmania,2014,Male,6.8634123
Tasmania,2015,Male,6.6253695
Tasmania,2016,Male,5.6833239
Tasmania,2017,Male,5.9868413
Tasmania,2018,Male,6.5148862
Tasmania,2019,Male,7.2548083
Tasmania,2020,Male,4.2102799
Tasmania,2021,Male,4.9312893
Tasmania,2022,Male,3.3215672
Tasmania,2023,Male,4.3152796
Tasmania,2024,Male,4.2564618
Tasmania,2008,Female,3.9046622
Tasmania,2009,Female,4.5657467
Tasmania,2010,Female,5.1307343
Tasmania,2011,Female,5.9401883
Tasmania,2012,Female,8.6074728
Tasmania,2013,Female,7.102541
Tasmania,2014,Female,5.935023
Tasmania,2015,Female,6.4450407
Tasmania,2016,Female,5.1048487
Tasmania,2017,Female,5.272408
Tasmania,2018,Female,6.9134868
Tasmania,2019,Female,6.4138019
Tasmania,2020,Female,5.2491031
Tasmania,2021,Female,3.7393591
Tasmania,2022,Female,3.8433143
Tasmania,2023,Female,2.9010925
Tasmania,2024,Female,2.9638286
Northern Territory,2008,Male,3.9713265
Northern Territory,2009,Male,2.6866308
Northern Territory,2010,Male,3.5601385
Northern Territory,2011,Male,4.6330168
Northern Territory,2012,Male,5.6590977
Northern Territory,2013,Male,4.9997867
Northern Territory,2014,Male,4.5055406
Northern Territory,2015,Male,4.4792191
Northern Territory,2016,Male,5.3770803
Northern Territory,2017,Male,5.7810305
Northern Territory,2018,Male,6.4408352
Northern Territory,2019,Male,6.5337311
Northern Territory,2020,Male,6.463872
Northern Territory,2021,Male,4.3007204
Northern Territory,2022,Male,3.9344366
Northern Territory,2023,Male,5.1391717
Northern Territory,2024,Male,4.2124362
Northern Territory,2008,Female,2.8831408
Northern Territory,2009,Female,2.7856802
Northern Territory,2010,Female,3.2586971
Northern Territory,2011,Female,3.9575905
Northern Territory,2012,Female,6.0911047
Northern Territory,2013,Female,5.183463
Northern Territory,2014,Female,5.0341186
Northern Territory,2015,Female,2.5843177
Northern Territory,2016,Female,4.8787204
Northern Territory,2017,Female,5.6009976
Northern Territory,2018,Female,5.2772551
Northern Territory,2019,Female,7.7351516
Northern Territory,2020,Female,5.9943806
Northern Territory,2021,Female,5.0956751
Northern Territory,2022,Female,4.2461497
Northern Territory,2023,Female,4.1217734
Northern Territory,2024,Female,3.519355
Australian Capital Territory,2008,Male,3.8610174
Australian Capital Territory,2009,Male,3.2114581
Australian Capital Territory,2010,Male,4.318961
Australian Capital Territory,2011,Male,3.8862407
Australian Capital Territory,2012,Male,3.3727623
Australian Capital Territory,2013,Male,2.35304
Australian Capital Territory,2014,Male,3.5082945
Australian Capital Territory,2015,Male,3.2151496
Australian Capital Territory,2016,Male,5.0908121
Australian Capital Territory,2017,Male,2.6452581
Australian Capital Territory,2018,Male,2.6224654
Australian Capital Territory,2019,Male,4.7657404
Australian Capital Territory,2020,Male,4.6921371
Australian Capital Territory,2021,Male,2.8800708
Australian Capital Territory,2022,Male,4.0342627
Australian Capital Territory,2023,Male,2.8167732
Australian Capital Territory,2024,Male,3.0939558
Australian Capital Territory,2008,Female,3.3282885
Australian Capital Territory,2009,Female,3.2178541
Australian Capital Territory,2010,Female,3.8304864
Australian Capital Territory,2011,Female,3.7497273
Australian Capital Territory,2012,Female,3.9433725
Australian Capital Territory,2013,Female,4.4418512
Australian Capital Territory,2014,Female,3.7044365
Australian Capital Territory,2015,Female,2.9245131
Australian Capital Territory,2016,Female,4.4722636
Australian Capital Territory,2017,Female,4.0883776
Australian Capital Territory,2018,Female,2.4824224
Australian Capital Territory,2019,Female,3.7736615
Australian Capital Territory,2020,Female,4.1586158
Australian Capital Territory,2021,Female,3.0539812
Australian Capital Territory,2022,Female,3.0625114
Australian Capital Territory,2023,Female,2.6128434
Australian Capital Territory,2024,Female,3.47649
