Offence,Year,Number,Rate,State
Weapons/explosives,2019,142,53.6,Western Australia
Property damage and environmental pollution,2019,469,177.0,Western Australia
Public order offences,2019,474,178.8,Western Australia
Offences against justice,2019,104,39.2,Western Australia
Miscellaneous offences,2019,49,18.5,Western Australia
Acts intended to cause injury,2020,1241,455.0,Western Australia
Sexual assault and related offences,2020,222,81.4,Western Australia
Dangerous/negligent acts,2020,39,14.3,Western Australia
Abduction/harassment,2020,129,47.3,Western Australia
Robbery/extortion,2020,191,70.0,Western Australia
Unlawful entry with intent,2020,881,323.0,Western Australia
Theft,2020,994,364.5,Western Australia
Fraud/deception,2020,79,29.0,Western Australia
Illicit drug offences,2020,645,236.5,Western Australia
Weapons/explosives,2020,144,52.8,Western Australia
Property damage and environmental pollution,2020,501,183.7,Western Australia
Public order offences,2020,462,169.4,Western Australia
Offences against justice,2020,98,35.9,Western Australia
Miscellaneous offences,2020,55,20.2,Western Australia
Acts intended to cause injury,2021,1263,451.8,Western Australia
Sexual assault and related offences,2021,261,93.4,Western Australia
Dangerous/negligent acts,2021,42,15.0,Western Australia
Abduction/harassment,2021,154,55.1,Western Australia
Robbery/extortion,2021,298,106.6,Western Australia
Unlawful entry with intent,2021,975,348.8,Western Australia
Theft,2021,1096,392.1,Western Australia
Fraud/deception,2021,93,33.3,Western Australia
Illicit drug offences,2021,583,208.5,Western Australia
Weapons/explosives,2021,149,53.3,Western Australia
Property damage and environmental pollution,2021,492,176.0,Western Australia
Public order offences,2021,453,162.0,Western Australia
Offences against justice,2021,107,38.3,Western Australia
Miscellaneous offences,2021,62,22.2,Western Australia
Acts intended to cause injury,2022,1551,540.4,Western Australia
Sexual assault and related offences,2022,235,81.9,Western Australia
Dangerous/negligent acts,2022,39,13.6,Western Australia
Abduction/harassment,2022,185,64.5,Western Australia
Robbery/extortion,2022,359,125.1,Western Australia
Unlawful entry with intent,2022,1004,349.8,Western Australia
Theft,2022,1088,379.1,Western Australia
Fraud/deception,2022,71,24.7,Western Australia
Illicit drug offences,2022,471,164.1,Western Australia
Weapons/explosives,2022,159,55.4,Western Australia
Property damage and environmental pollution,2022,498,173.5,Western Australia
Public order offences,2022,452,157.5,Western Australia
Offences against justice,2022,112,39.0,Western Australia
Miscellaneous offences,2022,46,16.0,Western Australia
Acts intended to cause injury,2023,1567,531.1,Western Australia
Sexual assault and related offences,2023,224,75.9,Western Australia
Dangerous/negligent acts,2023,38,12.9,Western Australia
Abduction/harassment,2023,201,68.1,Western Australia
Robbery/extortion,2023,327,110.8,Western Australia
Unlawful entry with intent,2023,911,308.8,Western Australia
Theft,2023,998,338.2,Western Australia
Fraud/deception,2023,110,37.3,Western Australia
Illicit drug offences,2023,402,136.2,Western Australia
Weapons/explosives,2023,188,63.7,Western Australia
Property damage and environmental pollution,2023,448,151.8,Western Australia
Public order offences,2023,369,125.1,Western Australia
Offences against justice,2023,108,36.6,Western Australia
Miscellaneous offences,2023,56,19.0,Western Australia
Acts intended to cause injury,2024,1445,481.3,Western Australia
Sexual assault and related offences,2024,285,94.9,Western Australia
Dangerous/negligent acts,2024,55,18.3,Western Australia
Abduction/harassment,2024,208,69.3,Western Australia
Robbery/extortion,2024,377,125.6,Western Australia
Unlawful entry with intent,2024,851,283.4,Western Australia
Theft,2024,1089,362.7,Western Australia
Fraud/deception,2024,70,23.3,Western Australia
Illicit drug offences,2024,300,99.9,Western Australia
Weapons/explosives,2024,192,63.9,Western Australia
Property damage and environmental pollution,2024,377,125.6,Western Australia
Public order offences,2024,427,142.2,Western Australia
Offences against justice,2024,107,35.6,Western Australia
Miscellaneous offences,2024,61,20.3,Western Australia
Acts intended to cause injury,2008,424,783.0,Tasmania
Sexual assault and related offences,2008,14,25.9,Tasmania
Dangerous/negligent acts,2008,3,5.5,Tasmania
Abduction/harassment,2008,8,14.8,Tasmania
Robbery/extortion,2008,31,57.2,Tasmania
Unlawful entry with intent,2008,205,378.6,Tasmania
Theft,2008,504,930.7,Tasmania
Fraud/deception,2008,32,59.1,Tasmania
Illicit drug offences,2008,197,363.8,Tasmania
Weapons/explosives,2008,41,75.7,Tasmania
Property damage and environmental pollution,2008,275,507.8,Tasmania
Public order offences,2008,698,1288.9,Tasmania
Offences against justice,2008,82,151.4,Tasmania
Miscellaneous offences,2008,92,169.9,Tasmania
Acts intended to cause injury,2009,405,750.7,Tasmania
Sexual assault and related offences,2009,12,22.2,Tasmania
Dangerous/negligent acts,2009,0,0.0,Tasmania
Abduction/harassment,2009,0,0.0,Tasmania
Robbery/extortion,2009,38,70.4,Tasmania
Unlawful entry with intent,2009,201,372.6,Tasmania
Theft,2009,579,1073.2,Tasmania
Fraud/deception,2009,29,53.8,Tasmania
Illicit drug offences,2009,225,417.1,Tasmania
Weapons/explosives,2009,44,81.6,Tasmania
Property damage and environmental pollution,2009,218,404.1,Tasmania
Public order offences,2009,649,1203.0,Tasmania
Offences against justice,2009,91,168.7,Tasmania
Miscellaneous offences,2009,63,116.8,Tasmania
Acts intended to cause injury,2010,398,740.8,Tasmania
Sexual assault and related offences,2010,18,33.5,Tasmania
Dangerous/negligent acts,2010,0,0.0,Tasmania
Abduction/harassment,2010,3,5.6,Tasmania
Robbery/extortion,2010,31,57.7,Tasmania
Unlawful entry with intent,2010,137,255.0,Tasmania
Theft,2010,498,927.0,Tasmania
Fraud/deception,2010,27,50.3,Tasmania
Illicit drug offences,2010,185,344.4,Tasmania
Weapons/explosives,2010,40,74.5,Tasmania
Property damage and environmental pollution,2010,215,400.2,Tasmania
Public order offences,2010,623,1159.7,Tasmania
Offences against justice,2010,62,115.4,Tasmania
Miscellaneous offences,2010,49,91.2,Tasmania
Acts intended to cause injury,2011,331,623.0,Tasmania
Sexual assault and related offences,2011,15,28.2,Tasmania
Dangerous/negligent acts,2011,0,0.0,Tasmania
Abduction/harassment,2011,3,5.6,Tasmania
Robbery/extortion,2011,33,62.1,Tasmania
Unlawful entry with intent,2011,145,272.9,Tasmania
Theft,2011,385,724.7,Tasmania
Fraud/deception,2011,25,47.1,Tasmania
Illicit drug offences,2011,161,303.0,Tasmania
Weapons/explosives,2011,59,111.1,Tasmania
Property damage and environmental pollution,2011,200,376.4,Tasmania
Public order offences,2011,616,1159.5,Tasmania
Offences against justice,2011,99,186.3,Tasmania
Miscellaneous offences,2011,59,111.1,Tasmania
Acts intended to cause injury,2012,229,440.5,Tasmania
Sexual assault and related offences,2012,19,36.5,Tasmania
Dangerous/negligent acts,2012,0,0.0,Tasmania
Abduction/harassment,2012,3,5.8,Tasmania
Robbery/extortion,2012,36,69.2,Tasmania
Unlawful entry with intent,2012,109,209.7,Tasmania
Theft,2012,361,694.4,Tasmania
Fraud/deception,2012,21,40.4,Tasmania
Illicit drug offences,2012,132,253.9,Tasmania
Weapons/explosives,2012,52,100.0,Tasmania
Property damage and environmental pollution,2012,157,302.0,Tasmania
Public order offences,2012,380,730.9,Tasmania
Offences against justice,2012,50,96.2,Tasmania
Miscellaneous offences,2012,30,57.7,Tasmania
Acts intended to cause injury,2013,231,454.4,Tasmania
Sexual assault and related offences,2013,17,33.4,Tasmania
Dangerous/negligent acts,2013,0,0.0,Tasmania
Abduction/harassment,2013,4,7.9,Tasmania
Robbery/extortion,2013,11,21.6,Tasmania
Unlawful entry with intent,2013,100,196.7,Tasmania
Theft,2013,297,584.2,Tasmania
Fraud/deception,2013,11,21.6,Tasmania
Illicit drug offences,2013,138,271.4,Tasmania
Weapons/explosives,2013,40,78.7,Tasmania
Property damage and environmental pollution,2013,134,263.6,Tasmania
Public order offences,2013,297,584.2,Tasmania
Offences against justice,2013,20,39.3,Tasmania
Miscellaneous offences,2013,36,70.8,Tasmania
Acts intended to cause injury,2014,187,372.4,Tasmania
Sexual assault and related offences,2014,8,15.9,Tasmania
Dangerous/negligent acts,2014,0,0.0,Tasmania
Abduction/harassment,2014,0,0.0,Tasmania
Robbery/extortion,2014,16,31.9,Tasmania
Unlawful entry with intent,2014,106,211.1,Tasmania
Theft,2014,245,487.9,Tasmania
Fraud/deception,2014,14,27.9,Tasmania
Illicit drug offences,2014,131,260.9,Tasmania
Weapons/explosives,2014,38,75.7,Tasmania
Property damage and environmental pollution,2014,102,203.1,Tasmania
Public order offences,2014,238,474.0,Tasmania
Offences against justice,2014,26,51.8,Tasmania
Miscellaneous offences,2014,53,105.5,Tasmania
Acts intended to cause injury,2015,192,384.5,Tasmania
Sexual assault and related offences,2015,7,14.0,Tasmania
Dangerous/negligent acts,2015,0,0.0,Tasmania
Abduction/harassment,2015,3,6.0,Tasmania
Robbery/extortion,2015,16,32.0,Tasmania
Unlawful entry with intent,2015,77,154.2,Tasmania
Theft,2015,206,412.6,Tasmania
Fraud/deception,2015,13,26.0,Tasmania
Illicit drug offences,2015,147,294.4,Tasmania
Weapons/explosives,2015,44,88.1,Tasmania
Property damage and environmental pollution,2015,100,200.3,Tasmania
Public order offences,2015,240,480.7,Tasmania
Offences against justice,2015,28,56.1,Tasmania
Miscellaneous offences,2015,35,70.1,Tasmania
Acts intended to cause injury,2016,214,426.6,Tasmania
Sexual assault and related offences,2016,17,33.9,Tasmania
Dangerous/negligent acts,2016,0,0.0,Tasmania
Abduction/harassment,2016,5,10.0,Tasmania
Robbery/extortion,2016,16,31.9,Tasmania
Unlawful entry with intent,2016,63,125.6,Tasmania
Theft,2016,189,376.8,Tasmania
Fraud/deception,2016,9,17.9,Tasmania
Illicit drug offences,2016,144,287.1,Tasmania
Weapons/explosives,2016,28,55.8,Tasmania
Property damage and environmental pollution,2016,99,197.4,Tasmania
Public order offences,2016,183,364.8,Tasmania
Offences against justice,2016,29,57.8,Tasmania
Miscellaneous offences,2016,23,45.9,Tasmania
Acts intended to cause injury,2017,217,429.5,Tasmania
Sexual assault and related offences,2017,12,23.7,Tasmania
Dangerous/negligent acts,2017,0,0.0,Tasmania
Abduction/harassment,2017,0,0.0,Tasmania
Robbery/extortion,2017,19,37.6,Tasmania
Unlawful entry with intent,2017,95,188.0,Tasmania
Theft,2017,176,348.3,Tasmania
Fraud/deception,2017,12,23.7,Tasmania
Illicit drug offences,2017,147,290.9,Tasmania
Weapons/explosives,2017,37,73.2,Tasmania
Property damage and environmental pollution,2017,88,174.2,Tasmania
Public order offences,2017,173,342.4,Tasmania
Offences against justice,2017,24,47.5,Tasmania
Miscellaneous offences,2017,35,69.3,Tasmania
Acts intended to cause injury,2018,212,413.8,Tasmania
Sexual assault and related offences,2018,4,7.8,Tasmania
Dangerous/negligent acts,2018,0,0.0,Tasmania
Abduction/harassment,2018,0,0.0,Tasmania
Robbery/extortion,2018,15,29.3,Tasmania
Unlawful entry with intent,2018,84,164.0,Tasmania
Theft,2018,156,304.5,Tasmania
Fraud/deception,2018,8,15.6,Tasmania
Illicit drug offences,2018,104,203.0,Tasmania
Weapons/explosives,2018,50,97.6,Tasmania
Property damage and environmental pollution,2018,116,226.4,Tasmania
Public order offences,2018,125,244.0,Tasmania
Offences against justice,2018,26,50.8,Tasmania
Miscellaneous offences,2018,17,33.2,Tasmania
Acts intended to cause injury,2019,185,355.4,Tasmania
Sexual assault and related offences,2019,7,13.4,Tasmania
Dangerous/negligent acts,2019,0,0.0,Tasmania
Abduction/harassment,2019,0,0.0,Tasmania
Robbery/extortion,2019,16,30.7,Tasmania
Unlawful entry with intent,2019,56,107.6,Tasmania
Theft,2019,123,236.3,Tasmania
Fraud/deception,2019,10,19.2,Tasmania
Illicit drug offences,2019,108,207.5,Tasmania
Weapons/explosives,2019,67,128.7,Tasmania
Property damage and environmental pollution,2019,103,197.9,Tasmania
Public order offences,2019,118,226.7,Tasmania
Offences against justice,2019,23,44.2,Tasmania
Miscellaneous offences,2019,27,51.9,Tasmania
Acts intended to cause injury,2020,206,390.0,Tasmania
Sexual assault and related offences,2020,15,28.4,Tasmania
Dangerous/negligent acts,2020,0,0.0,Tasmania
Abduction/harassment,2020,6,11.4,Tasmania
Robbery/extortion,2020,18,34.1,Tasmania
Unlawful entry with intent,2020,40,75.7,Tasmania
Theft,2020,148,280.2,Tasmania
Fraud/deception,2020,17,32.2,Tasmania
Illicit drug offences,2020,91,172.3,Tasmania
Weapons/explosives,2020,53,100.3,Tasmania
Property damage and environmental pollution,2020,93,176.1,Tasmania
Public order offences,2020,104,196.9,Tasmania
Offences against justice,2020,35,66.3,Tasmania
Miscellaneous offences,2020,20,37.9,Tasmania
Acts intended to cause injury,2021,260,485.9,Tasmania
Sexual assault and related offences,2021,12,22.4,Tasmania
Dangerous/negligent acts,2021,0,0.0,Tasmania
Abduction/harassment,2021,3,5.6,Tasmania
Robbery/extortion,2021,22,41.1,Tasmania
Unlawful entry with intent,2021,46,86.0,Tasmania
Theft,2021,181,338.2,Tasmania
Fraud/deception,2021,15,28.0,Tasmania
Illicit drug offences,2021,96,179.4,Tasmania
Weapons/explosives,2021,57,106.5,Tasmania
Property damage and environmental pollution,2021,112,209.3,Tasmania
Public order offences,2021,60,112.1,Tasmania
Offences against justice,2021,15,28.0,Tasmania
Miscellaneous offences,2021,8,15.0,Tasmania
Acts intended to cause injury,2022,295,547.0,Tasmania
Sexual assault and related offences,2022,7,13.0,Tasmania
Dangerous/negligent acts,2022,0,0.0,Tasmania
Abduction/harassment,2022,4,7.4,Tasmania
Robbery/extortion,2022,35,64.9,Tasmania
Unlawful entry with intent,2022,58,107.5,Tasmania
Theft,2022,237,439.5,Tasmania
Fraud/deception,2022,10,18.5,Tasmania
Illicit drug offences,2022,81,150.2,Tasmania
Weapons/explosives,2022,59,109.4,Tasmania
Property damage and environmental pollution,2022,121,224.4,Tasmania
Public order offences,2022,90,166.9,Tasmania
Offences against justice,2022,18,33.4,Tasmania
Miscellaneous offences,2022,10,18.5,Tasmania
Acts intended to cause injury,2023,317,586.3,Tasmania
Sexual assault and related offences,2023,11,20.3,Tasmania
Dangerous/negligent acts,2023,0,0.0,Tasmania
Abduction/harassment,2023,0,0.0,Tasmania
Robbery/extortion,2023,41,75.8,Tasmania
Unlawful entry with intent,2023,37,68.4,Tasmania
Theft,2023,257,475.3,Tasmania
Fraud/deception,2023,16,29.6,Tasmania
Illicit drug offences,2023,63,116.5,Tasmania
Weapons/explosives,2023,50,92.5,Tasmania
Property damage and environmental pollution,2023,128,236.7,Tasmania
Public order offences,2023,67,123.9,Tasmania
Offences against justice,2023,19,35.1,Tasmania
Miscellaneous offences,2023,0,0.0,Tasmania
Acts intended to cause injury,2024,295,545.9,Tasmania
Sexual assault and related offences,2024,11,20.4,Tasmania
Dangerous/negligent acts,2024,0,0.0,Tasmania
Abduction/harassment,2024,7,13.0,Tasmania
Robbery/extortion,2024,66,122.1,Tasmania
Unlawful entry with intent,2024,47,87.0,Tasmania
Theft,2024,253,468.1,Tasmania
Fraud/deception,2024,4,7.4,Tasmania
Illicit drug offences,2024,52,96.2,Tasmania
Weapons/explosives,2024,58,107.3,Tasmania
Property damage and environmental pollution,2024,135,249.8,Tasmania
Public order offences,2024,88,162.8,Tasmania
Offences against justice,2024,17,31.5,Tasmania
Miscellaneous offences,2024,7,13.0,Tasmania
Acts intended to cause injury,2008,277,1053.3,Northern Territory
Sexual assault and related offences,2008,34,129.3,Northern Territory
Dangerous/negligent acts,2008,11,41.8,Northern Territory
Abduction/harassment,2008,4,15.2,Northern Territory
Robbery/extortion,2008,28,106.5,Northern Territory
Unlawful entry with intent,2008,392,1490.6,Northern Territory
Theft,2008,242,920.2,Northern Territory
Fraud/deception,2008,3,11.4,Northern Territory
Illicit drug offences,2008,17,64.6,Northern Territory
Weapons/explosives,2008,14,53.2,Northern Territory
Property damage and environmental pollution,2008,62,235.8,Northern Territory
Public order offences,2008,218,828.9,Northern Territory
Offences against justice,2008,26,98.9,Northern Territory
Miscellaneous offences,2008,0,0.0,Northern Territory
Acts intended to cause injury,2009,244,927.8,Northern Territory
Sexual assault and related offences,2009,31,117.9,Northern Territory
Dangerous/negligent acts,2009,12,45.6,Northern Territory
Abduction/harassment,2009,11,41.8,Northern Territory
Robbery/extortion,2009,34,129.3,Northern Territory
Unlawful entry with intent,2009,399,1517.1,Northern Territory
Theft,2009,307,1167.3,Northern Territory
Fraud/deception,2009,12,45.6,Northern Territory
Illicit drug offences,2009,20,76.0,Northern Territory
Weapons/explosives,2009,30,114.1,Northern Territory
Property damage and environmental pollution,2009,70,266.2,Northern Territory
Public order offences,2009,218,828.9,Northern Territory
Offences against justice,2009,29,110.3,Northern Territory
Miscellaneous offences,2009,0,0.0,Northern Territory
Acts intended to cause injury,2010,166,633.0,Northern Territory
Sexual assault and related offences,2010,22,83.9,Northern Territory
Dangerous/negligent acts,2010,8,30.5,Northern Territory
Abduction/harassment,2010,10,38.1,Northern Territory
Robbery/extortion,2010,23,87.7,Northern Territory
Unlawful entry with intent,2010,270,1029.6,Northern Territory
Theft,2010,242,922.8,Northern Territory
Fraud/deception,2010,3,11.4,Northern Territory
Illicit drug offences,2010,22,83.9,Northern Territory
Weapons/explosives,2010,31,118.2,Northern Territory
Property damage and environmental pollution,2010,38,144.9,Northern Territory
Public order offences,2010,172,655.9,Northern Territory
Offences against justice,2010,29,110.6,Northern Territory
Miscellaneous offences,2010,3,11.4,Northern Territory
Acts intended to cause injury,2011,180,688.9,Northern Territory
Sexual assault and related offences,2011,10,38.3,Northern Territory
Dangerous/negligent acts,2011,0,0.0,Northern Territory
Abduction/harassment,2011,4,15.3,Northern Territory
Robbery/extortion,2011,18,68.9,Northern Territory
Unlawful entry with intent,2011,282,1079.3,Northern Territory
Theft,2011,177,677.4,Northern Territory
Fraud/deception,2011,4,15.3,Northern Territory
Illicit drug offences,2011,30,114.8,Northern Territory
Weapons/explosives,2011,26,99.5,Northern Territory
Property damage and environmental pollution,2011,45,172.2,Northern Territory
Public order offences,2011,144,551.1,Northern Territory
Offences against justice,2011,29,111.0,Northern Territory
Miscellaneous offences,2011,0,0.0,Northern Territory
Acts intended to cause injury,2012,248,951.7,Northern Territory
Sexual assault and related offences,2012,23,88.3,Northern Territory
Dangerous/negligent acts,2012,5,19.2,Northern Territory
Abduction/harassment,2012,3,11.5,Northern Territory
Robbery/extortion,2012,11,42.2,Northern Territory
Unlawful entry with intent,2012,289,1109.0,Northern Territory
Theft,2012,120,460.5,Northern Territory
Fraud/deception,2012,4,15.3,Northern Territory
Illicit drug offences,2012,15,57.6,Northern Territory
Weapons/explosives,2012,30,115.1,Northern Territory
Property damage and environmental pollution,2012,58,222.6,Northern Territory
Public order offences,2012,99,379.9,Northern Territory
Offences against justice,2012,22,84.4,Northern Territory
Miscellaneous offences,2012,0,0.0,Northern Territory
Acts intended to cause injury,2013,186,725.9,Northern Territory
Sexual assault and related offences,2013,20,78.0,Northern Territory
Dangerous/negligent acts,2013,12,46.8,Northern Territory
Abduction/harassment,2013,9,35.1,Northern Territory
Robbery/extortion,2013,34,132.7,Northern Territory
Unlawful entry with intent,2013,248,967.8,Northern Territory
Theft,2013,75,292.7,Northern Territory
Fraud/deception,2013,4,15.6,Northern Territory
Illicit drug offences,2013,12,46.8,Northern Territory
Weapons/explosives,2013,30,117.1,Northern Territory
Property damage and environmental pollution,2013,35,136.6,Northern Territory
Public order offences,2013,73,284.9,Northern Territory
Offences against justice,2013,13,50.7,Northern Territory
Miscellaneous offences,2013,0,0.0,Northern Territory
Acts intended to cause injury,2014,193,764.8,Northern Territory
Sexual assault and related offences,2014,29,114.9,Northern Territory
Dangerous/negligent acts,2014,8,31.7,Northern Territory
Abduction/harassment,2014,8,31.7,Northern Territory
Robbery/extortion,2014,16,63.4,Northern Territory
Unlawful entry with intent,2014,288,1141.2,Northern Territory
Theft,2014,74,293.2,Northern Territory
Fraud/deception,2014,4,15.8,Northern Territory
Illicit drug offences,2014,17,67.4,Northern Territory
Weapons/explosives,2014,21,83.2,Northern Territory
Property damage and environmental pollution,2014,35,138.7,Northern Territory
Public order offences,2014,50,198.1,Northern Territory
Offences against justice,2014,13,51.5,Northern Territory
Miscellaneous offences,2014,0,0.0,Northern Territory
Acts intended to cause injury,2015,242,962.1,Northern Territory
Sexual assault and related offences,2015,19,75.5,Northern Territory
Dangerous/negligent acts,2015,19,75.5,Northern Territory
Abduction/harassment,2015,13,51.7,Northern Territory
Robbery/extortion,2015,24,95.4,Northern Territory
Unlawful entry with intent,2015,303,1204.6,Northern Territory
Theft,2015,96,381.6,Northern Territory
Fraud/deception,2015,4,15.9,Northern Territory
Illicit drug offences,2015,10,39.8,Northern Territory
Weapons/explosives,2015,29,115.3,Northern Territory
Property damage and environmental pollution,2015,39,155.0,Northern Territory
Public order offences,2015,56,222.6,Northern Territory
Offences against justice,2015,15,59.6,Northern Territory
Miscellaneous offences,2015,0,0.0,Northern Territory
Acts intended to cause injury,2016,192,760.2,Northern Territory
Sexual assault and related offences,2016,15,59.4,Northern Territory
Dangerous/negligent acts,2016,13,51.5,Northern Territory
Abduction/harassment,2016,7,27.7,Northern Territory
Robbery/extortion,2016,39,154.4,Northern Territory
Unlawful entry with intent,2016,275,1088.9,Northern Territory
Theft,2016,58,229.7,Northern Territory
Fraud/deception,2016,0,0.0,Northern Territory
Illicit drug offences,2016,17,67.3,Northern Territory
Weapons/explosives,2016,22,87.1,Northern Territory
Property damage and environmental pollution,2016,28,110.9,Northern Territory
Public order offences,2016,56,221.7,Northern Territory
Offences against justice,2016,8,31.7,Northern Territory
Miscellaneous offences,2016,3,11.9,Northern Territory
Acts intended to cause injury,2017,179,700.3,Northern Territory
Sexual assault and related offences,2017,14,54.8,Northern Territory
Dangerous/negligent acts,2017,11,43.0,Northern Territory
Abduction/harassment,2017,7,27.4,Northern Territory
Robbery/extortion,2017,27,105.6,Northern Territory
Unlawful entry with intent,2017,242,946.7,Northern Territory
Theft,2017,66,258.2,Northern Territory
Fraud/deception,2017,5,19.6,Northern Territory
Illicit drug offences,2017,12,46.9,Northern Territory
Weapons/explosives,2017,41,160.4,Northern Territory
Property damage and environmental pollution,2017,36,140.8,Northern Territory
Public order offences,2017,74,289.5,Northern Territory
Offences against justice,2017,8,31.3,Northern Territory
Miscellaneous offences,2017,0,0.0,Northern Territory
Acts intended to cause injury,2018,209,807.6,Northern Territory
Sexual assault and related offences,2018,17,65.7,Northern Territory
Dangerous/negligent acts,2018,13,50.2,Northern Territory
Abduction/harassment,2018,8,30.9,Northern Territory
Robbery/extortion,2018,18,69.6,Northern Territory
Unlawful entry with intent,2018,272,1051.0,Northern Territory
Theft,2018,67,258.9,Northern Territory
Fraud/deception,2018,3,11.6,Northern Territory
Illicit drug offences,2018,18,69.6,Northern Territory
Weapons/explosives,2018,31,119.8,Northern Territory
Property damage and environmental pollution,2018,22,85.0,Northern Territory
Public order offences,2018,67,258.9,Northern Territory
Offences against justice,2018,14,54.1,Northern Territory
Miscellaneous offences,2018,3,11.6,Northern Territory
Acts intended to cause injury,2019,199,765.2,Northern Territory
Sexual assault and related offences,2019,20,76.9,Northern Territory
Dangerous/negligent acts,2019,7,26.9,Northern Territory
Abduction/harassment,2019,14,53.8,Northern Territory
Robbery/extortion,2019,38,146.1,Northern Territory
Unlawful entry with intent,2019,175,672.9,Northern Territory
Theft,2019,72,276.9,Northern Territory
Fraud/deception,2019,4,15.4,Northern Territory
Illicit drug offences,2019,17,65.4,Northern Territory
Weapons/explosives,2019,31,119.2,Northern Territory
Property damage and environmental pollution,2019,22,84.6,Northern Territory
Public order offences,2019,64,246.1,Northern Territory
Offences against justice,2019,17,65.4,Northern Territory
Miscellaneous offences,2019,0,0.0,Northern Territory
Acts intended to cause injury,2020,202,766.4,Northern Territory
Sexual assault and related offences,2020,21,79.7,Northern Territory
Dangerous/negligent acts,2020,6,22.8,Northern Territory
Abduction/harassment,2020,6,22.8,Northern Territory
Robbery/extortion,2020,62,235.2,Northern Territory
Unlawful entry with intent,2020,192,728.4,Northern Territory
Theft,2020,50,189.7,Northern Territory
Fraud/deception,2020,7,26.6,Northern Territory
Illicit drug offences,2020,9,34.1,Northern Territory
Weapons/explosives,2020,30,113.8,Northern Territory
Property damage and environmental pollution,2020,19,72.1,Northern Territory
Public order offences,2020,40,151.8,Northern Territory
Offences against justice,2020,7,26.6,Northern Territory
Miscellaneous offences,2020,0,0.0,Northern Territory
Acts intended to cause injury,2021,192,727.0,Northern Territory
Sexual assault and related offences,2021,17,64.4,Northern Territory
Dangerous/negligent acts,2021,7,26.5,Northern Territory
Abduction/harassment,2021,3,11.4,Northern Territory
Robbery/extortion,2021,95,359.7,Northern Territory
Unlawful entry with intent,2021,257,973.1,Northern Territory
Theft,2021,51,193.1,Northern Territory
Fraud/deception,2021,3,11.4,Northern Territory
Illicit drug offences,2021,6,22.7,Northern Territory
Weapons/explosives,2021,44,166.6,Northern Territory
Property damage and environmental pollution,2021,30,113.6,Northern Territory
Public order offences,2021,31,117.4,Northern Territory
Offences against justice,2021,6,22.7,Northern Territory
Miscellaneous offences,2021,0,0.0,Northern Territory
Acts intended to cause injury,2022,221,826.2,Northern Territory
Sexual assault and related offences,2022,10,37.4,Northern Territory
Dangerous/negligent acts,2022,0,0.0,Northern Territory
Abduction/harassment,2022,0,0.0,Northern Territory
Robbery/extortion,2022,123,459.8,Northern Territory
Unlawful entry with intent,2022,229,856.1,Northern Territory
Theft,2022,64,239.3,Northern Territory
Fraud/deception,2022,7,26.2,Northern Territory
Illicit drug offences,2022,17,63.6,Northern Territory
Weapons/explosives,2022,30,112.2,Northern Territory
Property damage and environmental pollution,2022,13,48.6,Northern Territory
Public order offences,2022,29,108.4,Northern Territory
Offences against justice,2022,3,11.2,Northern Territory
Miscellaneous offences,2022,0,0.0,Northern Territory
Acts intended to cause injury,2023,189,699.4,Northern Territory
Sexual assault and related offences,2023,8,29.6,Northern Territory
Dangerous/negligent acts,2023,11,40.7,Northern Territory
Abduction/harassment,2023,0,0.0,Northern Territory
Robbery/extortion,2023,116,429.3,Northern Territory
Unlawful entry with intent,2023,148,547.7,Northern Territory
Theft,2023,118,436.7,Northern Territory
Fraud/deception,2023,3,11.1,Northern Territory
Illicit drug offences,2023,11,40.7,Northern Territory
Weapons/explosives,2023,44,162.8,Northern Territory
Property damage and environmental pollution,2023,36,133.2,Northern Territory
Public order offences,2023,84,310.9,Northern Territory
Offences against justice,2023,18,66.6,Northern Territory
Miscellaneous offences,2023,0,0.0,Northern Territory
Acts intended to cause injury,2024,284,1029.8,Northern Territory
Sexual assault and related offences,2024,20,72.5,Northern Territory
Dangerous/negligent acts,2024,12,43.5,Northern Territory
Abduction/harassment,2024,7,25.4,Northern Territory
Robbery/extortion,2024,101,366.2,Northern Territory
Unlawful entry with intent,2024,149,540.3,Northern Territory
Theft,2024,148,536.6,Northern Territory
Fraud/deception,2024,0,0.0,Northern Territory
Illicit drug offences,2024,21,76.1,Northern Territory
Weapons/explosives,2024,40,145.0,Northern Territory
Property damage and environmental pollution,2024,63,228.4,Northern Territory
Public order offences,2024,92,333.6,Northern Territory
Offences against justice,2024,13,47.1,Northern Territory
Miscellaneous offences,2024,3,10.9,Northern Territory
Acts intended to cause injury,2008,153,430.2,Australian Capital Territory
Sexual assault and related offences,2008,6,16.9,Australian Capital Territory
Dangerous/negligent acts,2008,0,0.0,Australian Capital Territory
Abduction/harassment,2008,0,0.0,Australian Capital Territory
Robbery/extortion,2008,23,64.7,Australian Capital Territory
Unlawful entry with intent,2008,80,225.0,Australian Capital Territory
Theft,2008,377,1060.1,Australian Capital Territory
Fraud/deception,2008,15,42.2,Australian Capital Territory
Illicit drug offences,2008,25,70.3,Australian Capital Territory
Weapons/explosives,2008,45,126.5,Australian Capital Territory
Property damage and environmental pollution,2008,66,185.6,Australian Capital Territory
Public order offences,2008,161,452.7,Australian Capital Territory
Offences against justice,2008,13,36.6,Australian Capital Territory
Miscellaneous offences,2008,0,0.0,Australian Capital Territory
