Offence,Year,Number,Rate,State,Sex
11 Weapons/explosives,2015–16,676,25,Victoria,Female
12 Property damage and environmental pollution,2015–16,610,22.6,Victoria,Female
13 Public order offences,2015–16,1216,45,Victoria,Female
15 Offences against justice(g),2015–16,786,29.1,Victoria,Female
16 Miscellaneous offences,2015–16,1800,66.6,Victoria,Female
01 Homicide and related offences,2016–17,27,1,Victoria,Female
02 Acts intended to cause injury(d),2016–17,3343,120.8,Victoria,Female
03 Sexual assault and related offences,2016–17,81,2.9,Victoria,Female
04 Dangerous/negligent acts(e),2016–17,157,5.7,Victoria,Female
05 Abduction/harassment(d),2016–17,259,9.4,Victoria,Female
06 Robbery/extortion,2016–17,62,2.2,Victoria,Female
07 Unlawful entry with intent,2016–17,375,13.6,Victoria,Female
08 Theft(f) ,2016–17,3713,134.2,Victoria,Female
Fare evasion,2016–17,297,10.7,Victoria,Female
09 Fraud/deception,2016–17,840,30.4,Victoria,Female
10 Illicit drug offences,2016–17,1939,70.1,Victoria,Female
11 Weapons/explosives,2016–17,687,24.8,Victoria,Female
12 Property damage and environmental pollution,2016–17,620,22.4,Victoria,Female
13 Public order offences,2016–17,1278,46.2,Victoria,Female
15 Offences against justice(g),2016–17,866,31.3,Victoria,Female
16 Miscellaneous offences,2016–17,1305,47.2,Victoria,Female
01 Homicide and related offences,2017–18,18,0.6,Victoria,Female
02 Acts intended to cause injury(d),2017–18,3378,119.6,Victoria,Female
03 Sexual assault and related offences,2017–18,81,2.9,Victoria,Female
04 Dangerous/negligent acts(e),2017–18,162,5.7,Victoria,Female
05 Abduction/harassment(d),2017–18,264,9.3,Victoria,Female
06 Robbery/extortion,2017–18,87,3.1,Victoria,Female
07 Unlawful entry with intent,2017–18,359,12.7,Victoria,Female
08 Theft(f) ,2017–18,3437,121.7,Victoria,Female
Fare evasion,2017–18,294,10.4,Victoria,Female
09 Fraud/deception,2017–18,856,30.3,Victoria,Female
10 Illicit drug offences,2017–18,1931,68.4,Victoria,Female
11 Weapons/explosives,2017–18,886,31.4,Victoria,Female
12 Property damage and environmental pollution,2017–18,609,21.6,Victoria,Female
13 Public order offences,2017–18,1562,55.3,Victoria,Female
15 Offences against justice(g),2017–18,980,34.7,Victoria,Female
16 Miscellaneous offences,2017–18,1039,36.8,Victoria,Female
01 Homicide and related offences,2018–19,17,0.6,Victoria,Female
02 Acts intended to cause injury(d),2018–19,3500,121.5,Victoria,Female
03 Sexual assault and related offences,2018–19,83,2.9,Victoria,Female
04 Dangerous/negligent acts(e),2018–19,149,5.2,Victoria,Female
05 Abduction/harassment(d),2018–19,322,11.2,Victoria,Female
06 Robbery/extortion,2018–19,107,3.7,Victoria,Female
07 Unlawful entry with intent,2018–19,374,13,Victoria,Female
08 Theft(f) ,2018–19,3814,132.4,Victoria,Female
Fare evasion,2018–19,307,10.7,Victoria,Female
09 Fraud/deception,2018–19,870,30.2,Victoria,Female
10 Illicit drug offences,2018–19,2045,71,Victoria,Female
11 Weapons/explosives,2018–19,938,32.6,Victoria,Female
12 Property damage and environmental pollution,2018–19,559,19.4,Victoria,Female
13 Public order offences,2018–19,1375,47.7,Victoria,Female
15 Offences against justice(g),2018–19,1083,37.6,Victoria,Female
16 Miscellaneous offences,2018–19,814,28.3,Victoria,Female
01 Homicide and related offences,2019–20,20,0.7,Victoria,Female
02 Acts intended to cause injury(d),2019–20,3431,116.9,Victoria,Female
03 Sexual assault and related offences,2019–20,73,2.5,Victoria,Female
04 Dangerous/negligent acts(e),2019–20,151,5.1,Victoria,Female
05 Abduction/harassment(d),2019–20,307,10.5,Victoria,Female
06 Robbery/extortion,2019–20,120,4.1,Victoria,Female
07 Unlawful entry with intent,2019–20,344,11.7,Victoria,Female
08 Theft(f) ,2019–20,3476,118.5,Victoria,Female
Fare evasion,2019–20,261,8.9,Victoria,Female
09 Fraud/deception,2019–20,876,29.9,Victoria,Female
10 Illicit drug offences,2019–20,2258,77,Victoria,Female
11 Weapons/explosives,2019–20,912,31.1,Victoria,Female
12 Property damage and environmental pollution,2019–20,535,18.2,Victoria,Female
13 Public order offences,2019–20,889,30.3,Victoria,Female
15 Offences against justice(g),2019–20,1097,37.4,Victoria,Female
16 Miscellaneous offences,2019–20,1523,51.9,Victoria,Female
01 Homicide and related offences,2020–21,31,1.1,Victoria,Female
02 Acts intended to cause injury(d),2020–21,3447,117.6,Victoria,Female
03 Sexual assault and related offences,2020–21,85,2.9,Victoria,Female
04 Dangerous/negligent acts(e),2020–21,123,4.2,Victoria,Female
05 Abduction/harassment(d),2020–21,328,11.2,Victoria,Female
06 Robbery/extortion,2020–21,106,3.6,Victoria,Female
07 Unlawful entry with intent,2020–21,291,9.9,Victoria,Female
08 Theft(f) ,2020–21,2453,83.7,Victoria,Female
Fare evasion,2020–21,111,3.8,Victoria,Female
09 Fraud/deception,2020–21,727,24.8,Victoria,Female
10 Illicit drug offences,2020–21,2129,72.6,Victoria,Female
11 Weapons/explosives,2020–21,792,27,Victoria,Female
12 Property damage and environmental pollution,2020–21,577,19.7,Victoria,Female
13 Public order offences,2020–21,657,22.4,Victoria,Female
15 Offences against justice(g),2020–21,1032,35.2,Victoria,Female
16 Miscellaneous offences,2020–21,5104,174.1,Victoria,Female
01 Homicide and related offences,2021–22,14,0.5,Victoria,Female
02 Acts intended to cause injury(d),2021–22,3540,120.8,Victoria,Female
03 Sexual assault and related offences,2021–22,82,2.8,Victoria,Female
04 Dangerous/negligent acts(e),2021–22,117,4,Victoria,Female
05 Abduction/harassment(d),2021–22,332,11.3,Victoria,Female
06 Robbery/extortion,2021–22,63,2.1,Victoria,Female
07 Unlawful entry with intent,2021–22,342,11.7,Victoria,Female
08 Theft(f) ,2021–22,2247,76.7,Victoria,Female
Fare evasion,2021–22,107,3.7,Victoria,Female
09 Fraud/deception,2021–22,639,21.8,Victoria,Female
10 Illicit drug offences,2021–22,1897,64.7,Victoria,Female
11 Weapons/explosives,2021–22,699,23.9,Victoria,Female
12 Property damage and environmental pollution,2021–22,598,20.4,Victoria,Female
13 Public order offences,2021–22,677,23.1,Victoria,Female
15 Offences against justice(g),2021–22,1030,35.1,Victoria,Female
16 Miscellaneous offences,2021–22,4375,149.3,Victoria,Female
01 Homicide and related offences,2022–23,15,0.5,Victoria,Female
02 Acts intended to cause injury(d),2022–23,3780,125.8,Victoria,Female
03 Sexual assault and related offences,2022–23,111,3.7,Victoria,Female
04 Dangerous/negligent acts(e),2022–23,129,4.3,Victoria,Female
05 Abduction/harassment(d),2022–23,381,12.7,Victoria,Female
06 Robbery/extortion,2022–23,129,4.3,Victoria,Female
07 Unlawful entry with intent,2022–23,345,11.5,Victoria,Female
08 Theft(f) ,2022–23,2970,98.8,Victoria,Female
Fare evasion,2022–23,198,6.6,Victoria,Female
09 Fraud/deception,2022–23,680,22.6,Victoria,Female
10 Illicit drug offences,2022–23,1935,64.4,Victoria,Female
11 Weapons/explosives,2022–23,808,26.9,Victoria,Female
12 Property damage and environmental pollution,2022–23,681,22.7,Victoria,Female
13 Public order offences,2022–23,802,26.7,Victoria,Female
15 Offences against justice(g),2022–23,1104,36.7,Victoria,Female
16 Miscellaneous offences,2022–23,521,17.3,Victoria,Female
01 Homicide and related offences,2023–24,13,0.4,Victoria,Female
02 Acts intended to cause injury(d),2023–24,3930,126.7,Victoria,Female
03 Sexual assault and related offences,2023–24,115,3.7,Victoria,Female
04 Dangerous/negligent acts(e),2023–24,100,3.2,Victoria,Female
05 Abduction/harassment(d),2023–24,194,6.3,Victoria,Female
06 Robbery/extortion,2023–24,90,2.9,Victoria,Female
07 Unlawful entry with intent,2023–24,338,10.9,Victoria,Female
08 Theft(f) ,2023–24,2812,90.7,Victoria,Female
Fare evasion,2023–24,180,5.8,Victoria,Female
09 Fraud/deception,2023–24,668,21.5,Victoria,Female
10 Illicit drug offences,2023–24,1852,59.7,Victoria,Female
11 Weapons/explosives,2023–24,716,23.1,Victoria,Female
12 Property damage and environmental pollution,2023–24,654,21.1,Victoria,Female
13 Public order offences,2023–24,584,18.8,Victoria,Female
15 Offences against justice(g),2023–24,1119,36.1,Victoria,Female
16 Miscellaneous offences,2023–24,433,14,Victoria,Female
01 Homicide and related offences,2024–25,14,0.4,Victoria,Female
02 Acts intended to cause injury(d),2024–25,3997,126.5,Victoria,Female
03 Sexual assault and related offences,2024–25,120,3.8,Victoria,Female
04 Dangerous/negligent acts(e),2024–25,98,3.1,Victoria,Female
05 Abduction/harassment(d),2024–25,217,6.9,Victoria,Female
06 Robbery/extortion,2024–25,113,3.6,Victoria,Female
07 Unlawful entry with intent,2024–25,324,10.3,Victoria,Female
08 Theft(f) ,2024–25,2899,91.8,Victoria,Female
Fare evasion,2024–25,142,4.5,Victoria,Female
09 Fraud/deception,2024–25,601,19,Victoria,Female
10 Illicit drug offences,2024–25,1686,53.4,Victoria,Female
11 Weapons/explosives,2024–25,680,21.5,Victoria,Female
12 Property damage and environmental pollution,2024–25,617,19.5,Victoria,Female
13 Public order offences,2024–25,472,14.9,Victoria,Female
15 Offences against justice(g),2024–25,1188,37.6,Victoria,Female
16 Miscellaneous offences,2024–25,248,7.9,Victoria,Female
01 Homicide and related offences,2008–09,160,3.4,Victoria,Unknown
02 Acts intended to cause injury(d),2008–09,12107,260.1,Victoria,Unknown
03 Sexual assault and related offences,2008–09,1290,27.7,Victoria,Unknown
04 Dangerous/negligent acts(e),2008–09,667,14.3,Victoria,Unknown
05 Abduction/harassment(d),2008–09,632,13.6,Victoria,Unknown
06 Robbery/extortion,2008–09,468,10.1,Victoria,Unknown
07 Unlawful entry with intent,2008–09,3147,67.6,Victoria,Unknown
08 Theft(f) ,2008–09,15494,332.8,Victoria,Unknown
Fare evasion,2008–09,np,np,Victoria,Unknown
09 Fraud/deception,2008–09,2251,48.4,Victoria,Unknown
10 Illicit drug offences,2008–09,6639,142.6,Victoria,Unknown
11 Weapons/explosives,2008–09,2616,56.2,Victoria,Unknown
12 Property damage and environmental pollution,2008–09,3936,84.6,Victoria,Unknown
13 Public order offences,2008–09,7797,167.5,Victoria,Unknown
15 Offences against justice(g),2008–09,1758,37.8,Victoria,Unknown
16 Miscellaneous offences,2008–09,8488,182.3,Victoria,Unknown
01 Homicide and related offences,2009–10,146,3.1,Victoria,Unknown
02 Acts intended to cause injury(d),2009–10,12406,261.2,Victoria,Unknown
03 Sexual assault and related offences,2009–10,1330,28,Victoria,Unknown
04 Dangerous/negligent acts(e),2009–10,732,15.4,Victoria,Unknown
05 Abduction/harassment(d),2009–10,755,15.9,Victoria,Unknown
06 Robbery/extortion,2009–10,481,10.1,Victoria,Unknown
07 Unlawful entry with intent,2009–10,2970,62.5,Victoria,Unknown
08 Theft(f) ,2009–10,16430,345.9,Victoria,Unknown
Fare evasion,2009–10,np,np,Victoria,Unknown
09 Fraud/deception,2009–10,2188,46.1,Victoria,Unknown
10 Illicit drug offences,2009–10,6734,141.8,Victoria,Unknown
11 Weapons/explosives,2009–10,2482,52.3,Victoria,Unknown
12 Property damage and environmental pollution,2009–10,3957,83.3,Victoria,Unknown
13 Public order offences,2009–10,14149,297.9,Victoria,Unknown
15 Offences against justice(g),2009–10,2158,45.4,Victoria,Unknown
16 Miscellaneous offences,2009–10,9497,200,Victoria,Unknown
01 Homicide and related offences,2010–11,102,2.1,Victoria,Unknown
02 Acts intended to cause injury(d),2010–11,12311,255.6,Victoria,Unknown
03 Sexual assault and related offences,2010–11,1193,24.8,Victoria,Unknown
04 Dangerous/negligent acts(e),2010–11,763,15.8,Victoria,Unknown
05 Abduction/harassment(d),2010–11,726,15.1,Victoria,Unknown
06 Robbery/extortion,2010–11,522,10.8,Victoria,Unknown
07 Unlawful entry with intent,2010–11,2841,59,Victoria,Unknown
08 Theft(f) ,2010–11,16467,341.9,Victoria,Unknown
Fare evasion,2010–11,np,np,Victoria,Unknown
09 Fraud/deception,2010–11,1907,39.6,Victoria,Unknown
10 Illicit drug offences,2010–11,6583,136.7,Victoria,Unknown
11 Weapons/explosives,2010–11,2491,51.7,Victoria,Unknown
12 Property damage and environmental pollution,2010–11,3786,78.6,Victoria,Unknown
13 Public order offences,2010–11,15173,315,Victoria,Unknown
15 Offences against justice(g),2010–11,2285,47.4,Victoria,Unknown
16 Miscellaneous offences,2010–11,10994,228.3,Victoria,Unknown
01 Homicide and related offences,2011–12,118,2.4,Victoria,Unknown
02 Acts intended to cause injury(d),2011–12,13107,267.6,Victoria,Unknown
03 Sexual assault and related offences,2011–12,1387,28.3,Victoria,Unknown
04 Dangerous/negligent acts(e),2011–12,821,16.8,Victoria,Unknown
05 Abduction/harassment(d),2011–12,872,17.8,Victoria,Unknown
06 Robbery/extortion,2011–12,547,11.2,Victoria,Unknown
07 Unlawful entry with intent,2011–12,2620,53.5,Victoria,Unknown
08 Theft(f) ,2011–12,17457,356.5,Victoria,Unknown
Fare evasion,2011–12,np,np,Victoria,Unknown
09 Fraud/deception,2011–12,2029,41.4,Victoria,Unknown
10 Illicit drug offences,2011–12,7604,155.3,Victoria,Unknown
11 Weapons/explosives,2011–12,2873,58.7,Victoria,Unknown
12 Property damage and environmental pollution,2011–12,3657,74.7,Victoria,Unknown
13 Public order offences,2011–12,13314,271.9,Victoria,Unknown
15 Offences against justice(g),2011–12,2886,58.9,Victoria,Unknown
16 Miscellaneous offences,2011–12,12442,254.1,Victoria,Unknown
01 Homicide and related offences,2012–13,128,2.6,Victoria,Unknown
02 Acts intended to cause injury(d),2012–13,15319,306.7,Victoria,Unknown
03 Sexual assault and related offences,2012–13,1395,27.9,Victoria,Unknown
04 Dangerous/negligent acts(e),2012–13,813,16.3,Victoria,Unknown
05 Abduction/harassment(d),2012–13,1056,21.1,Victoria,Unknown
06 Robbery/extortion,2012–13,547,11,Victoria,Unknown
07 Unlawful entry with intent,2012–13,2385,47.8,Victoria,Unknown
08 Theft(f) ,2012–13,15667,313.7,Victoria,Unknown
Fare evasion,2012–13,np,np,Victoria,Unknown
09 Fraud/deception,2012–13,2465,49.4,Victoria,Unknown
10 Illicit drug offences,2012–13,8344,167.1,Victoria,Unknown
11 Weapons/explosives,2012–13,3474,69.6,Victoria,Unknown
12 Property damage and environmental pollution,2012–13,3737,74.8,Victoria,Unknown
13 Public order offences,2012–13,13480,269.9,Victoria,Unknown
15 Offences against justice(g),2012–13,3187,63.8,Victoria,Unknown
16 Miscellaneous offences,2012–13,15691,314.2,Victoria,Unknown
01 Homicide and related offences,2013–14,120,2.4,Victoria,Unknown
02 Acts intended to cause injury(d),2013–14,16238,318.6,Victoria,Unknown
03 Sexual assault and related offences,2013–14,1566,30.7,Victoria,Unknown
04 Dangerous/negligent acts(e),2013–14,855,16.8,Victoria,Unknown
05 Abduction/harassment(d),2013–14,1213,23.8,Victoria,Unknown
06 Robbery/extortion,2013–14,520,10.2,Victoria,Unknown
07 Unlawful entry with intent,2013–14,2275,44.6,Victoria,Unknown
08 Theft(f) ,2013–14,13135,257.7,Victoria,Unknown
Fare evasion,2013–14,np,np,Victoria,Unknown
09 Fraud/deception,2013–14,2382,46.7,Victoria,Unknown
10 Illicit drug offences,2013–14,8676,170.2,Victoria,Unknown
11 Weapons/explosives,2013–14,3748,73.5,Victoria,Unknown
12 Property damage and environmental pollution,2013–14,3768,73.9,Victoria,Unknown
13 Public order offences,2013–14,11850,232.5,Victoria,Unknown
15 Offences against justice(g),2013–14,3385,66.4,Victoria,Unknown
16 Miscellaneous offences,2013–14,13372,262.3,Victoria,Unknown
01 Homicide and related offences,2014–15,132,2.5,Victoria,Unknown
02 Acts intended to cause injury(d),2014–15,16440,316,Victoria,Unknown
03 Sexual assault and related offences,2014–15,1573,30.2,Victoria,Unknown
04 Dangerous/negligent acts(e),2014–15,886,17,Victoria,Unknown
05 Abduction/harassment(d),2014–15,1421,27.3,Victoria,Unknown
06 Robbery/extortion,2014–15,436,8.4,Victoria,Unknown
07 Unlawful entry with intent,2014–15,2051,39.4,Victoria,Unknown
08 Theft(f) ,2014–15,8382,161.1,Victoria,Unknown
Fare evasion,2014–15,2701,51.9,Victoria,Unknown
09 Fraud/deception,2014–15,2239,43,Victoria,Unknown
10 Illicit drug offences,2014–15,9706,186.6,Victoria,Unknown
11 Weapons/explosives,2014–15,4307,82.8,Victoria,Unknown
12 Property damage and environmental pollution,2014–15,3279,63,Victoria,Unknown
13 Public order offences,2014–15,10487,201.6,Victoria,Unknown
15 Offences against justice(g),2014–15,3821,73.4,Victoria,Unknown
16 Miscellaneous offences,2014–15,13067,251.2,Victoria,Unknown
01 Homicide and related offences,2015–16,169,3.2,Victoria,Unknown
02 Acts intended to cause injury(d),2015–16,17063,320.9,Victoria,Unknown
03 Sexual assault and related offences,2015–16,1600,30.1,Victoria,Unknown
04 Dangerous/negligent acts(e),2015–16,866,16.3,Victoria,Unknown
05 Abduction/harassment(d),2015–16,1485,27.9,Victoria,Unknown
06 Robbery/extortion,2015–16,471,8.9,Victoria,Unknown
07 Unlawful entry with intent,2015–16,2122,39.9,Victoria,Unknown
08 Theft(f) ,2015–16,8222,154.6,Victoria,Unknown
Fare evasion,2015–16,2493,46.9,Victoria,Unknown
09 Fraud/deception,2015–16,2309,43.4,Victoria,Unknown
10 Illicit drug offences,2015–16,8676,163.2,Victoria,Unknown
11 Weapons/explosives,2015–16,4287,80.6,Victoria,Unknown
12 Property damage and environmental pollution,2015–16,3454,65,Victoria,Unknown
13 Public order offences,2015–16,8726,164.1,Victoria,Unknown
15 Offences against justice(g),2015–16,4046,76.1,Victoria,Unknown
16 Miscellaneous offences,2015–16,11769,221.4,Victoria,Unknown
01 Homicide and related offences,2016–17,117,2.2,Victoria,Unknown
02 Acts intended to cause injury(d),2016–17,17725,325.7,Victoria,Unknown
03 Sexual assault and related offences,2016–17,1779,32.7,Victoria,Unknown
04 Dangerous/negligent acts(e),2016–17,1053,19.4,Victoria,Unknown
05 Abduction/harassment(d),2016–17,1615,29.7,Victoria,Unknown
06 Robbery/extortion,2016–17,522,9.6,Victoria,Unknown
07 Unlawful entry with intent,2016–17,2154,39.6,Victoria,Unknown
08 Theft(f) ,2016–17,8386,154.1,Victoria,Unknown
Fare evasion,2016–17,2020,37.1,Victoria,Unknown
09 Fraud/deception,2016–17,2400,44.1,Victoria,Unknown
10 Illicit drug offences,2016–17,8809,161.9,Victoria,Unknown
11 Weapons/explosives,2016–17,4244,78,Victoria,Unknown
12 Property damage and environmental pollution,2016–17,3417,62.8,Victoria,Unknown
13 Public order offences,2016–17,8350,153.4,Victoria,Unknown
15 Offences against justice(g),2016–17,4583,84.2,Victoria,Unknown
16 Miscellaneous offences,2016–17,8689,159.7,Victoria,Unknown
01 Homicide and related offences,2017–18,157,2.8,Victoria,Unknown
02 Acts intended to cause injury(d),2017–18,17406,313.3,Victoria,Unknown
03 Sexual assault and related offences,2017–18,1683,30.3,Victoria,Unknown
04 Dangerous/negligent acts(e),2017–18,961,17.3,Victoria,Unknown
05 Abduction/harassment(d),2017–18,1574,28.3,Victoria,Unknown
06 Robbery/extortion,2017–18,615,11.1,Victoria,Unknown
07 Unlawful entry with intent,2017–18,2108,37.9,Victoria,Unknown
08 Theft(f) ,2017–18,8012,144.2,Victoria,Unknown
Fare evasion,2017–18,2008,36.1,Victoria,Unknown
09 Fraud/deception,2017–18,2413,43.4,Victoria,Unknown
10 Illicit drug offences,2017–18,8577,154.4,Victoria,Unknown
11 Weapons/explosives,2017–18,5618,101.1,Victoria,Unknown
12 Property damage and environmental pollution,2017–18,3275,58.9,Victoria,Unknown
13 Public order offences,2017–18,10516,189.3,Victoria,Unknown
15 Offences against justice(g),2017–18,4752,85.5,Victoria,Unknown
16 Miscellaneous offences,2017–18,7601,136.8,Victoria,Unknown
01 Homicide and related offences,2018–19,138,2.4,Victoria,Unknown
02 Acts intended to cause injury(d),2018–19,17423,307.1,Victoria,Unknown
03 Sexual assault and related offences,2018–19,1737,30.6,Victoria,Unknown
04 Dangerous/negligent acts(e),2018–19,950,16.7,Victoria,Unknown
05 Abduction/harassment(d),2018–19,1717,30.3,Victoria,Unknown
06 Robbery/extortion,2018–19,672,11.8,Victoria,Unknown
07 Unlawful entry with intent,2018–19,1974,34.8,Victoria,Unknown
08 Theft(f) ,2018–19,8626,152.1,Victoria,Unknown
Fare evasion,2018–19,1783,31.4,Victoria,Unknown
09 Fraud/deception,2018–19,2540,44.8,Victoria,Unknown
10 Illicit drug offences,2018–19,9385,165.4,Victoria,Unknown
11 Weapons/explosives,2018–19,5758,101.5,Victoria,Unknown
12 Property damage and environmental pollution,2018–19,3030,53.4,Victoria,Unknown
13 Public order offences,2018–19,9053,159.6,Victoria,Unknown
15 Offences against justice(g),2018–19,5043,88.9,Victoria,Unknown
16 Miscellaneous offences,2018–19,6165,108.7,Victoria,Unknown
01 Homicide and related offences,2019–20,146,2.5,Victoria,Unknown
02 Acts intended to cause injury(d),2019–20,17171,297,Victoria,Unknown
03 Sexual assault and related offences,2019–20,1695,29.3,Victoria,Unknown
04 Dangerous/negligent acts(e),2019–20,913,15.8,Victoria,Unknown
05 Abduction/harassment(d),2019–20,1766,30.5,Victoria,Unknown
06 Robbery/extortion,2019–20,805,13.9,Victoria,Unknown
07 Unlawful entry with intent,2019–20,1879,32.5,Victoria,Unknown
08 Theft(f) ,2019–20,8331,144.1,Victoria,Unknown
Fare evasion,2019–20,1277,22.1,Victoria,Unknown
09 Fraud/deception,2019–20,2552,44.1,Victoria,Unknown
10 Illicit drug offences,2019–20,9898,171.2,Victoria,Unknown
11 Weapons/explosives,2019–20,5696,98.5,Victoria,Unknown
12 Property damage and environmental pollution,2019–20,2861,49.5,Victoria,Unknown
13 Public order offences,2019–20,6244,108,Victoria,Unknown
15 Offences against justice(g),2019–20,5328,92.2,Victoria,Unknown
16 Miscellaneous offences,2019–20,7630,132,Victoria,Unknown
01 Homicide and related offences,2020–21,162,2.8,Victoria,Unknown
02 Acts intended to cause injury(d),2020–21,17351,300.7,Victoria,Unknown
03 Sexual assault and related offences,2020–21,1612,27.9,Victoria,Unknown
04 Dangerous/negligent acts(e),2020–21,894,15.5,Victoria,Unknown
05 Abduction/harassment(d),2020–21,1929,33.4,Victoria,Unknown
06 Robbery/extortion,2020–21,490,8.5,Victoria,Unknown
07 Unlawful entry with intent,2020–21,1600,27.7,Victoria,Unknown
08 Theft(f) ,2020–21,6068,105.2,Victoria,Unknown
Fare evasion,2020–21,623,10.8,Victoria,Unknown
09 Fraud/deception,2020–21,2206,38.2,Victoria,Unknown
10 Illicit drug offences,2020–21,8595,149,Victoria,Unknown
11 Weapons/explosives,2020–21,5320,92.2,Victoria,Unknown
12 Property damage and environmental pollution,2020–21,2862,49.6,Victoria,Unknown
13 Public order offences,2020–21,4199,72.8,Victoria,Unknown
15 Offences against justice(g),2020–21,4949,85.8,Victoria,Unknown
16 Miscellaneous offences,2020–21,19692,341.3,Victoria,Unknown
01 Homicide and related offences,2021–22,115,2,Victoria,Unknown
02 Acts intended to cause injury(d),2021–22,17020,295.1,Victoria,Unknown
03 Sexual assault and related offences,2021–22,1677,29.1,Victoria,Unknown
04 Dangerous/negligent acts(e),2021–22,946,16.4,Victoria,Unknown
05 Abduction/harassment(d),2021–22,1857,32.2,Victoria,Unknown
06 Robbery/extortion,2021–22,497,8.6,Victoria,Unknown
07 Unlawful entry with intent,2021–22,1599,27.7,Victoria,Unknown
08 Theft(f) ,2021–22,5931,102.8,Victoria,Unknown
Fare evasion,2021–22,581,10.1,Victoria,Unknown
09 Fraud/deception,2021–22,1895,32.9,Victoria,Unknown
10 Illicit drug offences,2021–22,7753,134.4,Victoria,Unknown
11 Weapons/explosives,2021–22,5103,88.5,Victoria,Unknown
12 Property damage and environmental pollution,2021–22,3068,53.2,Victoria,Unknown
13 Public order offences,2021–22,4101,71.1,Victoria,Unknown
15 Offences against justice(g),2021–22,5205,90.3,Victoria,Unknown
16 Miscellaneous offences,2021–22,17458,302.7,Victoria,Unknown
01 Homicide and related offences,2022–23,133,2.2,Victoria,Unknown
02 Acts intended to cause injury(d),2022–23,17606,297.5,Victoria,Unknown
03 Sexual assault and related offences,2022–23,1686,28.5,Victoria,Unknown
04 Dangerous/negligent acts(e),2022–23,853,14.4,Victoria,Unknown
05 Abduction/harassment(d),2022–23,1912,32.3,Victoria,Unknown
06 Robbery/extortion,2022–23,746,12.6,Victoria,Unknown
07 Unlawful entry with intent,2022–23,1659,28,Victoria,Unknown
08 Theft(f) ,2022–23,7175,121.3,Victoria,Unknown
Fare evasion,2022–23,1190,20.1,Victoria,Unknown
09 Fraud/deception,2022–23,2222,37.6,Victoria,Unknown
10 Illicit drug offences,2022–23,7756,131.1,Victoria,Unknown
11 Weapons/explosives,2022–23,5274,89.1,Victoria,Unknown
12 Property damage and environmental pollution,2022–23,3167,53.5,Victoria,Unknown
13 Public order offences,2022–23,4773,80.7,Victoria,Unknown
15 Offences against justice(g),2022–23,5500,92.9,Victoria,Unknown
16 Miscellaneous offences,2022–23,4048,68.4,Victoria,Unknown
01 Homicide and related offences,2023–24,127,2.1,Victoria,Unknown
02 Acts intended to cause injury(d),2023–24,17576,287.8,Victoria,Unknown
03 Sexual assault and related offences,2023–24,1762,28.9,Victoria,Unknown
04 Dangerous/negligent acts(e),2023–24,772,12.6,Victoria,Unknown
05 Abduction/harassment(d),2023–24,1002,16.4,Victoria,Unknown
06 Robbery/extortion,2023–24,707,11.6,Victoria,Unknown
07 Unlawful entry with intent,2023–24,1609,26.3,Victoria,Unknown
08 Theft(f) ,2023–24,7034,115.2,Victoria,Unknown
Fare evasion,2023–24,1098,18,Victoria,Unknown
09 Fraud/deception,2023–24,2194,35.9,Victoria,Unknown
10 Illicit drug offences,2023–24,7472,122.4,Victoria,Unknown
11 Weapons/explosives,2023–24,5033,82.4,Victoria,Unknown
12 Property damage and environmental pollution,2023–24,3000,49.1,Victoria,Unknown
13 Public order offences,2023–24,3331,54.5,Victoria,Unknown
15 Offences against justice(g),2023–24,5740,94,Victoria,Unknown
16 Miscellaneous offences,2023–24,3078,50.4,Victoria,Unknown
01 Homicide and related offences,2024–25,131,2.1,Victoria,Unknown
02 Acts intended to cause injury(d),2024–25,18335,295.4,Victoria,Unknown
03 Sexual assault and related offences,2024–25,1783,28.7,Victoria,Unknown
04 Dangerous/negligent acts(e),2024–25,703,11.3,Victoria,Unknown
05 Abduction/harassment(d),2024–25,1075,17.3,Victoria,Unknown
06 Robbery/extortion,2024–25,745,12,Victoria,Unknown
07 Unlawful entry with intent,2024–25,1603,25.8,Victoria,Unknown
08 Theft(f) ,2024–25,7342,118.3,Victoria,Unknown
Fare evasion,2024–25,797,12.8,Victoria,Unknown
09 Fraud/deception,2024–25,2126,34.2,Victoria,Unknown
10 Illicit drug offences,2024–25,6692,107.8,Victoria,Unknown
11 Weapons/explosives,2024–25,5006,80.6,Victoria,Unknown
12 Property damage and environmental pollution,2024–25,3016,48.6,Victoria,Unknown
13 Public order offences,2024–25,2416,38.9,Victoria,Unknown
15 Offences against justice(g),2024–25,6013,96.9,Victoria,Unknown
16 Miscellaneous offences,2024–25,1832,29.5,Victoria,Unknown
01 Homicide and related offences,2008–09,147,8,Queensland,Male
02 Acts intended to cause injury,2008–09,7490,406.8,Queensland,Male
03 Sexual assault and related offences,2008–09,1682,91.4,Queensland,Male
04 Dangerous/negligent acts(e) ,2008–09,480,26.1,Queensland,Male
05 Abduction/harassment,2008–09,29,1.6,Queensland,Male
06 Robbery/extortion,2008–09,632,34.3,Queensland,Male
07 Unlawful entry with intent,2008–09,3863,209.8,Queensland,Male
08 Theft(f),2008–09,7441,404.2,Queensland,Male
Fare evasion,2008–09,np,np,Queensland,Male
09 Fraud/deception,2008–09,1120,60.8,Queensland,Male
10 Illicit drug offences,2008–09,12485,678.1,Queensland,Male
