Offence,Year,Number,Rate,State,Sex
Acts intended to cause injury,2017,23130.0,679.2,New South Wales,Male
Sexual assault and related offences,2017,2240.0,65.8,New South Wales,Male
Dangerous/negligent acts,2017,127.0,3.7,New South Wales,Male
Abduction/harassment,2017,806.0,23.7,New South Wales,Male
Robbery/extortion,2017,738.0,21.7,New South Wales,Male
Unlawful entry with intent,2017,1962.0,57.6,New South Wales,Male
Theft,2017,6524.0,191.6,New South Wales,Male
Fare evasion,2017,17148.0,503.5,New South Wales,Male
Fraud/deception,2017,2740.0,80.5,New South Wales,Male
Illicit drug offences,2017,14326.0,420.6,New South Wales,Male
Weapons/explosives,2017,1606.0,47.2,New South Wales,Male
Property damage and environmental pollution,2017,3565.0,104.7,New South Wales,Male
Public order offences,2017,12594.0,369.8,New South Wales,Male
Offences against justice,2017,3969.0,116.5,New South Wales,Male
Miscellaneous offences,2017,5271.0,154.8,New South Wales,Male
Homicide and related offences,2018,238.0,6.9,New South Wales,Male
Acts intended to cause injury,2018,24126.0,697.1,New South Wales,Male
Sexual assault and related offences,2018,2303.0,66.5,New South Wales,Male
Dangerous/negligent acts,2018,63.0,1.8,New South Wales,Male
Abduction/harassment,2018,807.0,23.3,New South Wales,Male
Robbery/extortion,2018,758.0,21.9,New South Wales,Male
Unlawful entry with intent,2018,1775.0,51.3,New South Wales,Male
Theft,2018,6388.0,184.6,New South Wales,Male
Fare evasion,2018,14351.0,414.7,New South Wales,Male
Fraud/deception,2018,2805.0,81.1,New South Wales,Male
Illicit drug offences,2018,13937.0,402.7,New South Wales,Male
Weapons/explosives,2018,1900.0,54.9,New South Wales,Male
Property damage and environmental pollution,2018,3302.0,95.4,New South Wales,Male
Public order offences,2018,10893.0,314.8,New South Wales,Male
Offences against justice,2018,4030.0,116.5,New South Wales,Male
Miscellaneous offences,2018,5613.0,162.2,New South Wales,Male
Homicide and related offences,2019,222.0,6.3,New South Wales,Male
Acts intended to cause injury,2019,24735.0,705.7,New South Wales,Male
Sexual assault and related offences,2019,2432.0,69.4,New South Wales,Male
Dangerous/negligent acts,2019,48.0,1.4,New South Wales,Male
Abduction/harassment,2019,857.0,24.4,New South Wales,Male
Robbery/extortion,2019,799.0,22.8,New South Wales,Male
Unlawful entry with intent,2019,1915.0,54.6,New South Wales,Male
Theft,2019,6129.0,174.9,New South Wales,Male
Fare evasion,2019,12377.0,353.1,New South Wales,Male
Fraud/deception,2019,2710.0,77.3,New South Wales,Male
Illicit drug offences,2019,13516.0,385.6,New South Wales,Male
Weapons/explosives,2019,2153.0,61.4,New South Wales,Male
Property damage and environmental pollution,2019,3199.0,91.3,New South Wales,Male
Public order offences,2019,9204.0,262.6,New South Wales,Male
Offences against justice,2019,4091.0,116.7,New South Wales,Male
Miscellaneous offences,2019,4762.0,135.9,New South Wales,Male
Homicide and related offences,2020,203.0,5.8,New South Wales,Male
Acts intended to cause injury,2020,26042.0,741.1,New South Wales,Male
Sexual assault and related offences,2020,2584.0,73.5,New South Wales,Male
Dangerous/negligent acts,2020,62.0,1.8,New South Wales,Male
Abduction/harassment,2020,897.0,25.5,New South Wales,Male
Robbery/extortion,2020,722.0,20.5,New South Wales,Male
Unlawful entry with intent,2020,1584.0,45.1,New South Wales,Male
Theft,2020,5205.0,148.1,New South Wales,Male
Fare evasion,2020,10721.0,305.1,New South Wales,Male
Fraud/deception,2020,2245.0,63.9,New South Wales,Male
Illicit drug offences,2020,11379.0,323.8,New South Wales,Male
Weapons/explosives,2020,2019.0,57.5,New South Wales,Male
Property damage and environmental pollution,2020,3213.0,91.4,New South Wales,Male
Public order offences,2020,8237.0,234.4,New South Wales,Male
Offences against justice,2020,4130.0,117.5,New South Wales,Male
Miscellaneous offences,2020,4818.0,137.1,New South Wales,Male
Homicide and related offences,2021,183.0,5.2,New South Wales,Male
